ï»¿EDIFICIO,PROJECT,Customer,PN Manufacturable,ene-25,feb-25,mar-25,Apr-2025,may-25,jun-25,jul-25,Aug-2025,sep-25,oct-25,nov-25,Dec-2025,ene-26
B18,SKYWALKER,MerMod 3,AMZ7-KU-128769-522,54,65,76,97,119,78,87,110,114,122,147,122,128
B18,SKYWALKER,SGT 4.3,AMZ7-KU-115615-506,162,194,226,291,355,314,345,475,444,471,560,471,493
B18,SKYWALKER,OTAC-Main (Piedras),AMZ7-KU-119486-501,215,258,301,387,473,330,363,452,466,495,589,495,518
B18,SKYWALKER,OTAC-Amplifier (Phoca),,215,258,301,387,473,312,343,427,440,467,556,467,489
B18,SKYWALKER,STAR TRACKER CAM (Cyclops),,108,129,151,194,237,156,172,214,220,234,278,234,245
B18,SKYWALKER,Star Tracker Compute (Titan),AMZ7-KU-121004-501,108,129,151,194,237,156,172,214,220,234,278,234,245
B18,SKYWALKER,OHA Quad Cell (Tracking Sensor),,430,516,602,774,946,623,685,854,880,934,1112,934,978
B18,SKYWALKER,OHA CPA MAIN,AMZ7-KU-119658-511,215,258,301,387,473,312,343,427,440,467,556,467,489
B18,SKYWALKER,OHA BEO,AMZ7-KU-121150-511 ,215,258,301,387,473,312,343,427,440,467,556,467,489
B18,SKYWALKER,OHA V3 EL DRIVE,AMZ7-KU-127393-510,215,258,301,387,473,312,343,427,440,467,556,467,489
